title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Main Prem Ki Diwani Hoon,2003,12,3,19,8,7,Sooraj R. Barjatya,34.0,9.0
Elvira's Haunted Hills,2001,12,10,,4,1,Sam Irvin,39.0,29.0
Expecting Mercy,2000,16,,,4,1,Dave Hansen,2.0,2.0
Der Felsen,2002,3,16,,1,3,Dominik Graf,2.0,10.0
Gangland,2001,14,15,,4,1,Art Camacho,22.0,7.0
The Girl Next Door,2004,12,3,7,4,1,Luke Greenfield,535.0,121.0
Livet är en schlager,2000,12,3,20,8,7,Susanne Bier,10.0,5.0
Just Can't Get Enough,2002,12,3,,4,1,Dave Payne,10.0,1.0
Landysh serebristyy,2000,12,19,7,3,6,Tigran Keosayan,1.0,
Big Fat Liar,2002,5,12,13,4,1,Shawn Levy,107.0,69.0
Mamluqi,1958,14,5,7,8,7,Davit Rondeli,1.0,
The Man from Elysian Fields,2001,3,7,,4,1,George Hickenlooper,73.0,43.0
Meseautó,2000,12,7,,8,7,"Barna Kabay, Katalin Petényi",1.0,4.0
Mitsos... o rezilis,1984,12,7,,8,7,Omiros Efstratiadis,,1.0
Money,1993,14,12,3,8,7,Siva Nageshwara Rao,1.0,
Monsoon Wedding,2001,12,3,7,8,7,Mira Nair,212.0,137.0
The Mothman Prophecies,2002,3,10,9,4,1,Mark Pellington,470.0,171.0
The Mystery of Spoon River,2000,16,,,4,1,Scott A. Meehan,8.0,
Nueces para el amor,2000,3,7,,8,7,Alberto Lecchi,7.0,
One Hour Photo,2002,3,16,,4,1,Mark Romanek,609.0,212.0
Paranoid,2000,10,16,,4,1,Ash Smith,21.0,9.0
Pelle Svanslös och den stora skattjakten,2000,13,,,8,7,Mikael Ekman,,
Pizzás,2001,12,,,8,7,György Balogh,4.0,
Poletje v skoljki,1985,12,13,,8,7,Tugo Stiglic,2.0,
Protection,2001,16,,,8,1,John Flynn,6.0,2.0
Psyched by the 4D Witch (A Tale of Demonology),1973,10,,,4,1,Victor Luminera,14.0,22.0
Pumpkin,2002,12,3,7,4,1,"Anthony Abrams, Adam Larson Broder",182.0,49.0
Quand on sera grand,2000,12,3,,7,5,Renaud Cohen,1.0,2.0
Rain,2003,13,8,14,4,1,Robert J. Wilson,14.0,
Strange Hearts,2002,12,3,,4,1,Michelle Gallagher,12.0,1.0
Recess: School's Out,2001,18,12,13,4,1,Chuck Sheetz,37.0,43.0
Ripley's Game,2002,2,3,9,2,1,Liliana Cavani,113.0,58.0
The Rookie,2002,3,13,17,4,1,John Lee Hancock,174.0,93.0
The Royal Tenenbaums,2001,12,3,,4,1,Wes Anderson,972.0,231.0
Samraat,1982,14,16,,8,7,Mohan Segal,1.0,
Das Sams,2001,12,13,6,1,3,Ben Verbong,3.0,13.0
Scenes of the Crime,2001,14,3,16,1,1,Dominique Forma,15.0,12.0
"Scotland, Pa.",2001,12,2,,4,1,Billy Morrissette,68.0,43.0
Sethu,1999,14,3,7,8,7,Bala,2.0,1.0
Sheng zhe wei wang,2000,2,16,,8,7,Andrew Lau,6.0,8.0
The Source,2002,10,9,15,4,1,Steve Taylor,43.0,9.0
Standard Time,2002,19,7,,4,1,Robert Cary,20.0,17.0
Stealing Harvard,2002,12,2,,4,1,Bruce McCulloch,85.0,51.0
Sumas y restas,2004,3,,,8,7,Víctor Gaviria,5.0,1.0
Superstarlet A.D.,2000,12,19,15,4,1,John Michael McCarthy,10.0,5.0
Tales of an Island,2000,12,3,,8,7,"Mohsen Makhmalbaf, Dariush Mehrjui",,
Tatli Nigar,1978,3,7,,8,7,Orhan Aksoy,,1.0
Tempted,2001,16,,,8,1,Bill Bennett,12.0,5.0
Bäyin ogurlanmasi,1985,12,,,8,7,"Jeyhun Mirzayev, Vagif Mustafayev",,
L'ultimo bacio,2001,12,3,7,5,2,Gabriele Muccino,45.0,62.0
Un jeu d'enfants,2001,3,6,10,7,5,Laurent Tuel,10.0,8.0
The Untold,2002,14,5,10,8,1,Jonas Quastel,57.0,24.0
Voyance et manigance,2001,12,,,7,5,Eric Fourniols,1.0,2.0
De vriendschap,2001,12,3,,8,7,Nouchka van Brakel,1.0,1.0
What Matters Most,2001,3,,,4,1,Jane Cusumano,10.0,
Howaitoauto,2000,14,16,,6,4,Setsurô Wakamatsu,9.0,6.0
Without Charlie,2001,12,3,,4,1,Adam Rifkin,2.0,
Hap gwat yan sam,2000,7,,,8,7,Tak-Hei Tang,2.0,
Yeogo goedam II,1999,10,7,3,8,7,"Tae-yong Kim, Kyu-dong Min",39.0,45.0
Yolngu Boy,2001,5,3,,8,1,Stephen Johnson,8.0,2.0
You're the one (una historia de entonces),2000,3,,,8,7,José Luis Garci,11.0,1.0
Arjun,1985,14,2,3,8,7,Rahul Rawail,8.0,
Azhakiya Ravanan,1996,12,3,,8,7,Kamal,2.0,
Batoru rowaiaru,2000,5,3,15,6,4,Kinji Fukasaku,630.0,201.0
Biwi-O-Biwi,1981,12,7,,8,7,Rahul Rawail,2.0,1.0
Báilame el agua,2000,3,,,8,7,Josetxo San Mateo,4.0,
The Cat's Meow,2001,3,7,,2,1,Peter Bogdanovich,127.0,109.0
Jiyuan qiaohe,2000,12,7,,8,7,Chee Kong Cheah,4.0,4.0
Lei ting zhan jing,2000,14,,,8,7,Stanley Tong,26.0,28.0
DMB,2000,12,,,3,6,Roman Kachanov,4.0,
Dacait,1987,14,3,,8,7,Rahul Rawail,3.0,1.0
Daleko od okna,2000,3,,,8,7,Jan Jakub Kolski,2.0,
Death to Smoochy,2002,12,2,3,2,1,Danny DeVito,338.0,86.0
Deyyam,1996,10,,,8,7,Ram Gopal Varma,3.0,1.0
A Man Apart,2003,14,2,3,4,1,F. Gary Gray,139.0,109.0
Dubai,2001,14,16,,8,7,Joshiy,,
Duplex,2003,12,,,1,1,Danny DeVito,152.0,80.0
Falling Like This,2001,3,7,,4,1,Dani Minnick,21.0,10.0
Finding Nemo,2003,18,5,12,4,1,"Andrew Stanton, Lee Unkrich",926.0,302.0
Furîzu mî,2000,3,7,16,6,4,Takashi Ishii,27.0,36.0
Futei no kisetsu,2000,12,3,,6,4,Ryuichi Hiroki,2.0,6.0
Hollywood Sex Fantasy,2001,12,7,,4,1,Kelley Cauthen,4.0,1.0
House of Love,2000,3,7,,4,1,Tom Lazarus,8.0,1.0
Karadjordje,1911,3,8,,8,7,Ilija Stanojevic-Cica,4.0,
